,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
17,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|command|command execution
18,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|command|command execution
19,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,4103,module logging.,windows,,,microsoft-windows-powershell/operational,microsoft-windows-powershell,,windows|microsoft-windows-powershell|4103|module logging.,windows|command|command execution
20,T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|command|command execution
21,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4703,a token right was adjusted.,windows,Policy Change,Authorization Policy Change,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4703|a token right was adjusted.,windows|logon session|logon session metadata
22,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4673,a privileged service was called.,windows,Privilege Use,Sensitive Privilege Use,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4673|a privileged service was called.,windows|logon session|logon session metadata
23,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4674,an operation was attempted on a privileged object.,windows,Privilege Use,Sensitive Privilege Use,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4674|an operation was attempted on a privileged object.,windows|logon session|logon session metadata
24,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4610,an authentication package has been loaded by the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4610|an authentication package has been loaded by the local security authority.,windows|logon session|logon session metadata
25,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4611,a trusted logon process has been registered with the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4611|a trusted logon process has been registered with the local security authority.,windows|logon session|logon session metadata
26,T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4614,a notification package has been loaded by the security account manager.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4614|a notification package has been loaded by the security account manager.,windows|logon session|logon session metadata
