technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity,evidence_degree,evidence_score,evidence_confidence_reason
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0018,User executed Command,user,executed,command,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0018,User executed Command,user,executed,command,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0018,User executed Command,user,executed,command,4103,module logging.,windows,,,microsoft-windows-powershell/operational,microsoft-windows-powershell,,windows|microsoft-windows-powershell|4103|module logging.,windows|command|command execution,225,0.0404,"Evidence score 0.04: this telemetry is shared with 224 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0018,User executed Command,user,executed,command,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|command|command execution,162,0.0963,"Evidence score 0.10: this telemetry is shared with 161 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,4103,module logging.,windows,,,microsoft-windows-powershell/operational,microsoft-windows-powershell,,windows|microsoft-windows-powershell|4103|module logging.,windows|command|command execution,225,0.0404,"Evidence score 0.04: this telemetry is shared with 224 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1622,False,debugger evasion,"defense-evasion, discovery","Windows, Linux, macOS",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|command|command execution,248,0.0238,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4703,a token right was adjusted.,windows,Policy Change,Authorization Policy Change,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4703|a token right was adjusted.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4673,a privileged service was called.,windows,Privilege Use,Sensitive Privilege Use,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4673|a privileged service was called.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4674,an operation was attempted on a privileged object.,windows,Privilege Use,Sensitive Privilege Use,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4674|an operation was attempted on a privileged object.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
T1621,False,multi-factor authentication request generation,credential-access,"Windows, Office 365, Linux, macOS, IaaS, SaaS, Azure AD, Google Workspace",logon session,logon session metadata,REL-2022-0050,Logon Metadata,logon,metadata,,4610,an authentication package has been loaded by the local security authority.,windows,System,Security System Extension,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4610|an authentication package has been loaded by the local security authority.,windows|logon session|logon session metadata,10,0.471,"Evidence score 0.47: this telemetry is shared with 9 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source."
